ProductID;Date;Zip;Units;Revenue;Country;CountryZip;Province;Product;Category;Segment;Manufacturer
725;36175;H1B;1;115.4475;Canada;CanadaH1B;Quebec;Natura RP-13;Rural;Productivity;Natura
2235;36175;H1B;2;131.145;Canada;CanadaH1B;Quebec;Aliqui RP-32;Rural;Productivity;Aliqui
713;36175;H1B;1;160.0725;Canada;CanadaH1B;Quebec;Natura RP-01;Rural;Productivity;Natura
574;37412;H1B;1;869.1375;Canada;CanadaH1B;Quebec;Maximus UC-39;Urban;Convenience;VanArsdel
94;36206;H1B;1;866.25;Canada;CanadaH1B;Quebec;Abbas UM-21;Urban;Moderation;Abbas
609;36206;H1B;1;778.8375;Canada;CanadaH1B;Quebec;Maximus UC-74;Urban;Convenience;VanArsdel
2064;36234;H1B;2;976.395;Canada;CanadaH1B;Quebec;Currus UE-24;Urban;Extreme;Currus
714;36175;H1B;1;160.0725;Canada;CanadaH1B;Quebec;Natura RP-02;Rural;Productiviti;Natura
826;37407;H1B;1;944.9475;Canada;CanadaH1B;Quebec;Natura UM-10;Urban;Moderation;Natura
2149;37413;H1B;2;871.395;Canada;CanadaH1B;Quebec;Victoria UE-02;Urban;Extreme;Victoria
992;36206;H1B;1;288.6975;Canada;CanadaH1B;Quebec;Natura UC-55;Urban;Convenience;Natura
726;36175;M4X;1;115.4475;Canada;CanadaM4X;Ontario;Natura RP-14;Rural;Productivity;Natura
725;36175;M4X;1;115.4475;Canada;CanadaM4X;Ontario;Natura RP-13;Rural;Productivity;Natura
910;36234;M4X;1;414.6975;Canada;CanadaM4X;Ontario;Natura UE-19;Urban;Extreme;Natura
727;36175;R3T;1;62.9475;Canada;CanadaR3T;Manitoba;Natura RP-15;Rural;Productivity;Natura
1426;36206;R3T;1;286.02;Canada;CanadaR3T;Manitoba;Quibus RP-18;Rural;Productiviti;Quibus
1182;36175;R3T;1;157.4475;Canada;CanadaR3T;Manitoba;Pirum UE-18;Urban;Extreme;Pirum
976;37407;R3T;1;314.9475;Canada;CanadaR3T;Manitoba;Natura UC-39;Urban;Convenience;Natura
758;36175;R3T;1;83.9475;Canada;CanadaR3T;Manitoba;Natura RP-46;Rural;Productivity;Natura
1112;36206;R3T;1;116.4975;Canada;CanadaR3T;Manitoba;Pirum RP-58;Rural;Productivity;Pirum
1425;36206;R3T;1;286.02;Canada;CanadaR3T;Manitoba;Quibus RP-17;Rural;Productivity;Quibus
740;36175;R3G;1;170.5725;Canada;CanadaR3G;Manitoba;Natura RP-28;Rural;Productivity;Natura
604;36175;R3G;1;461.7375;Canada;CanadaR3G;Manitoba;Maximus UC-69;Urban;Convenience;VanArsdel
726;36175;R3G;1;115.4475;Canada;CanadaR3G;Manitoba;Natura RP-14;Rural;Productivity;Natura
758;36175;R3G;1;83.9475;Canada;CanadaR3G;Manitoba;Natura RP-46;Rural;Productivity;Natura
1131;36206;R3G;1;419.9475;Canada;CanadaR3G;Manitoba;Pirum UM-08;Urban;Moderation;Pirum
753;36206;R3G;1;244.0725;Canada;CanadaR3G;Manitoba;Natura RP-41;Rural;Productivity;Natura
2234;36206;R3G;1;65.5725;Canada;CanadaR3G;Manitoba;Aliqui RP-31;Rural;Productiviti;Aliqui
739;36175;R3G;1;170.5725;Canada;CanadaR3G;Manitoba;Natura RP-27;Rural;Productivity;Natura
768;36175;R3G;1;104.9475;Canada;CanadaR3G;Manitoba;Natura RP-56;Rural;Productivity;Natura
725;36175;R3G;1;115.4475;Canada;CanadaR3G;Manitoba;Natura RP-13;Rural;Productivity;Natura
728;36175;R3G;1;62.9475;Canada;CanadaR3G;Manitoba;Natura RP-16;Rural;Productivity;Natura
